Entry_Time,Hour_of_Day,Day_of_Week,Session,ATR,signal,Trade_Type,Label
2025-01-20 06:20:00,6,0,Asia,1.7642857142857338,-1,Sell,SL
2025-01-23 16:20:00,16,3,London,1.5314285714285754,-1,Sell,TP
2025-01-27 06:00:00,6,0,Asia,1.3049999999999986,-1,Sell,SL
2025-03-03 06:00:00,6,0,Asia,2.83428571428567,1,Buy,SL
2025-03-07 07:05:00,7,4,Asia,1.7221428571428987,-1,Sell,TP
2025-04-23 05:00:00,5,2,Asia,7.966428571428521,-1,Sell,SL
2025-04-30 15:10:00,15,2,London,4.078571428571422,-1,Sell,SL
2025-05-12 05:00:00,5,0,Asia,5.604999999999985,-1,Sell,SL
2025-06-23 05:00:00,5,0,Asia,3.191428571428592,1,Buy,SL
2025-07-03 19:30:00,19,3,London,3.850714285714243,-1,Sell,TP
2025-07-23 23:00:00,23,2,NY,3.815714285714356,-1,Sell,SL
2025-08-01 19:30:00,19,4,London,4.262142857142862,1,Buy,TP
2025-08-18 06:15:00,6,0,Asia,1.6557142857141767,-1,Sell,SL
2025-08-26 06:10:00,6,1,Asia,1.1671428571428026,-1,Sell,TP
2025-09-05 19:30:00,19,4,London,4.742142857142913,1,Buy,TP
2025-10-22 07:00:00,7,2,Asia,9.411428571428555,-1,Sell,TP
2025-11-06 06:00:00,6,3,Asia,2.617857142857279,-1,Sell,SL
2025-11-28 07:30:00,7,4,Asia,2.677142857143021,1,Buy,SL
2026-01-05 06:00:00,6,0,Asia,4.354285714285652,1,Buy,SL
2026-01-19 06:00:00,6,0,Asia,7.2621428571427975,1,Buy,TP
2026-01-26 06:00:00,6,0,Asia,6.442857142857065,1,Buy,SL
2026-01-29 06:35:00,6,3,Asia,23.109999999999996,1,Buy,SL
2026-02-11 17:40:00,17,2,London,6.869285714285785,1,Buy,SL
2026-02-12 23:10:00,23,3,NY,14.103571428571286,-1,Sell,SL
2026-02-17 12:15:00,12,1,Asia,7.931428571428504,-1,Sell,TP
2026-02-17 20:55:00,20,1,NY,10.859285714285761,-1,Sell,TP
2026-02-27 20:05:00,20,4,NY,4.969999999999994,1,Buy,TP
2026-03-02 06:00:00,6,0,Asia,11.784285714285554,1,Buy,TP
2026-03-23 18:05:00,18,0,London,25.66142857142839,1,Buy,TP
2026-03-25 03:20:00,3,2,NY,9.99214285714288,1,Buy,SL
